        Demolition Scrap (E3) Spot Delivered $/mt,STESE3DB KLSH Index,,,,,,,,
        Light New Scrap (E8) Spot (ex-works) $/mt,STESE8DB KLSH Index,,,,,,,,
    France,,,,,,,,,
        Stainless Steel Scrap 316 Spot Delivered,STFRSRDB KLSH Index,,,,,,,,
        Stainless Steel Scrap 304 Spot Delivered $/mt,STFRSSDB KLSH Index,,,,,,,,
North America,,,,,,,,,
    #1 Bundle Scrap Spot ($/mt),BUN1SPOT SCMO Index,,,,,,,,
    #1 Busheling Scrap Spot ($/mt),BSH1SPOT SCMO Index,,,,,,,,
    #1 HMS Scrap Spot ($/mt),HMS1SPOT SCMO Index,,,,,,,,
    Shredded Auto Scrap ($/mt),SHASSPOT SCMO Index,,,,,,,,
    Stainless Steel 301 Solid Scrap Spot ($/mt),S301SPOT SCMO Index,,,,,,,,
    Stainless Steel 304 Solid Scrap Spot ($/mt),S304SPOT SCMO Index,,,,,,,,
,,,,,,,,,
